section,path,name,type,index,offset,size,key,value,hex,severity,description
media,<repo>\samples\sample.wav,WAV,summary,,,1068,,"{""chunks"": 2, ""audio_format"": 1, ""wave_format_name"": ""PCM"", ""channels"": 1, ""sample_rate"": 8000, ""byte_rate"": 16000, ""block_align"": 2, ""bits_per_sample"": 16, ""data_bytes"": 1024, ""expected_block_align"": 2, ""expected_byte_rate"": 16000, ""frame_count"": 512, ""duration_seconds"": 0.064, ""ffprobe"": {""available"": true, ""format"": {""format_name"": ""wav"", ""duration"": ""0.064000"", ""bit_rate"": ""133500"", ""probe_score"": 99}, ""streams"": [{""index"": 0, ""codec_type"": ""audio"", ""codec_name"": ""pcm_s16le"", ""profile"": """", ""width"": null, ""height"": null, ""sample_rate"": ""8000"", ""channels"": 1, ""pix_fmt"": """", ""sample_fmt"": ""s16"", ""duration"": ""0.064000"", ""bit_rate"": ""128000"", ""nb_frames"": """", ""r_frame_rate"": ""0/0"", ""avg_frame_rate"": ""0/0"", ""time_base"": ""1/8000""}]}, ""packet_timeline"": {""available"": true, ""packets"": [{""index"": 0, ""stream_index"": 0, ""codec_type"": ""audio"", ""pts"": 0.0, ""dts"": 0.0, ""duration"": 0.064, ""size"": 1024, ""pos"": 44, ""flags"": ""K__"", ""keyframe"": true}]}, ""packet_stats"": {""available"": true, ""packets"": 1, ""streams"": 1, ""keyframes"": 1, ""total_bytes"": 1024, ""min_size"": 1024, ""max_size"": 1024, ""average_size"": 1024.0, ""largest_index"": 0, ""largest_stream"": 0, ""largest_pos"": 44, ""largest_size"": 1024, ""by_stream"": {""0"": {""packets"": 1, ""keyframes"": 1, ""total_bytes"": 1024, ""min_size"": 1024, ""max_size"": 1024, ""average_size"": 1024.0, ""largest_index"": 0, ""largest_pos"": 44, ""largest_size"": 1024, ""codec_types"": {""audio"": 1}, ""first_pts"": 0.0, ""last_pts"": 0.0, ""pts_span"": 0.0}}}, ""waveform"": {""available"": true, ""source"": ""wav"", ""sample_rate"": 8000, ""channels"": 1, ""sample_width"": 2, ""total_frames"": 512, ""scanned_frames"": 512, ""duration_seconds"": 0.064, ""peaks"": [{""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0005, ""rms"": 0.0003}, {""min"": -0.0005, ""max"": 0.0, ""rms"": 0.0003}], ""ascii"": ""\n\n\n\n++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++\n\n\n\n""}}",,,
notes,,user_notes,text,,,,,样例备注：WAV 音频波形与报告备注演示。,,,
packet_stats,,packets,summary,,,1024,,"{""available"": true, ""packets"": 1, ""streams"": 1, ""keyframes"": 1, ""total_bytes"": 1024, ""min_size"": 1024, ""max_size"": 1024, ""average_size"": 1024.0, ""largest_index"": 0, ""largest_stream"": 0, ""largest_pos"": 44, ""largest_size"": 1024, ""by_stream"": {""0"": {""packets"": 1, ""keyframes"": 1, ""total_bytes"": 1024, ""min_size"": 1024, ""max_size"": 1024, ""average_size"": 1024.0, ""largest_index"": 0, ""largest_pos"": 44, ""largest_size"": 1024, ""codec_types"": {""audio"": 1}, ""first_pts"": 0.0, ""last_pts"": 0.0, ""pts_span"": 0.0}}}",,,
packet,,,audio,0,0x2C,1024,yes,stream=0 pts=0.0 dts=0.0 duration=0.064,,,
node,sample.wav,sample.wav,WAV,,0x0,1068,,,,normal,
field,sample.wav,riff_id,field,,0x0,4,,RIFF,52 49 46 46,normal,
field,sample.wav,riff_size,field,,0x4,4,,1068,0x42c,normal,RIFF 声明的总长度
field,sample.wav,wave_id,field,,0x8,4,,WAVE,57 41 56 45,normal,
node,sample.wav/fmt ,fmt ,riff_chunk,,0xC,24,,,,normal,
field,sample.wav/fmt ,chunk_id,field,,0xC,4,,fmt ,66 6D 74 20,normal,
